,animal,d',condition
0,BS_40,1.75068607125217,control
1,BS_41,2.030798499298092,control
2,BS_42,1.6319029450438869,control
3,BS_49,1.7793328270957067,control
4,BS_50,1.4652176544509794,control
5,BS_51,1.8876496314140125,control
6,BS_56,2.2604974964258644,control
7,BS_59,1.8949021672512423,control
8,BS_67,1.775593373282697,control
9,BS_70,2.3882249494027232,control
10,BS_72,2.2729786695616068,control
11,BS_87,1.7987534074888898,control
12,BS_108,2.1704551963933145,control
13,DS_15,1.5429254449065075,control
14,DS_19,1.6841067843974098,control
