,animal,learning phase,hit rate,false alarm rate
0,AE_344,pre early,66.08650761384354,61.26684030602699
1,AE_344,pre late,77.4919927586687,60.14305729665955
2,AE_344,pre expert,,
3,AE_344,post early,,
4,AE_344,post late,,
5,AE_344,post expert,,
6,AE_346,pre early,73.76067843112801,74.82939158692905
7,AE_346,pre late,60.95795606730742,53.79829040449294
8,AE_346,pre expert,,
9,AE_346,post early,,
10,AE_346,post late,,
11,AE_346,post expert,,
12,AE_367,pre early,50.92436974789916,59.55434097120034
13,AE_367,pre late,78.98886629534222,62.229229942445855
14,AE_367,pre expert,,
15,AE_367,post early,,
16,AE_367,post late,,
17,AE_367,post expert,,
18,AE_350,pre early,61.36366906459581,57.58896621939368
19,AE_350,pre late,74.59508852921509,52.30610356564555
20,AE_350,pre expert,94.35064935064935,44.85448544854485
21,AE_350,post early,,
22,AE_350,post late,,
23,AE_350,post expert,,
24,AE_351,pre early,75.46630532316756,64.99355594862833
25,AE_351,pre late,,
26,AE_351,pre expert,100.0,53.920361247947454
27,AE_351,post early,,
28,AE_351,post late,,
29,AE_351,post expert,,
30,AE_359,pre early,59.86625429300589,50.70758154962888
31,AE_359,pre late,82.88933431517052,55.045758833003134
32,AE_359,pre expert,88.88888888888889,20.454545454545457
33,AE_359,post early,,
34,AE_359,post late,,
35,AE_359,post expert,,
